WIDTH,LUTs,DSPs
32,421,2
32,1295,0
32,47,4
32,865,1
32,1222,0
32,111,5
33,49,4
33,696,2
33,1360,0
33,1015,1
34,115,5
34,1417,0
34,51,4
34,945,1
34,1308,0
35,1452,0
35,63,4
35,741,2
36,198,3
36,1362,0
36,83,4
36,646,2
37,279,3
37,1514,0
37,1081,1
37,722,2
37,118,4
38,322,3
38,1611,0
38,70,5
38,1204,1
39,857,2
39,1672,0
39,1275,1
39,74,5
40,1696,0
40,893,2
40,78,5
41,82,5
41,1847,0
41,1430,1
41,821,3
42,85,5
42,1897,0
42,1327,2
43,2016,0
43,87,5
44,189,6
44,2051,0
44,72,9
44,926,4
45,195,6
45,2261,0
45,923,4
45,74,9
46,197,6
46,2359,0
46,1651,2
46,76,9
47,203,6
47,2406,0
47,1682,2
47,78,9
48,205,6
48,2470,0
48,80,9
48,1006,4
49,211,6
49,2536,0
49,82,9
49,1016,4
50,213,6
50,2582,0
50,84,9
50,1812,2
51,1098,4
51,2743,0
51,86,9
51,1872,2
51,2653,0
51,697,6
52,2782,0
52,88,9
52,1100,4
52,2666,0
52,699,6
53,1394,4
53,3124,0
53,1827,3
53,2938,0
53,110,9
54,2267,2
54,3391,0
54,2698,1
54,3040,0
54,144,9
55,2161,3
55,3452,0
55,2854,1
55,3185,0
55,94,10
56,96,10
56,3488,0
56,2706,2
56,3404,0
57,98,10
57,3569,0
57,2791,2
57,3504,0
58,2124,4
58,3611,0
58,3108,1
58,3432,0
58,100,10
59,1970,5
59,3675,0
59,3181,1
59,3537,0
59,102,10
60,104,10
60,3730,0
60,2981,2
60,3681,0
61,155,16
61,394,12
61,1642,6
61,3803,0
61,955,10
61,3061,2
61,3748,0
61,1086,12
62,398,12
62,1872,6
62,3833,0
62,1514,8
62,3385,1
62,3738,0
62,157,16
62,1579,9
63,408,12
63,1980,6
63,3913,0
63,1626,8
63,3227,2
63,3907,0
63,159,16
63,1691,9
64,412,12
64,1801,6
64,3947,0
64,1072,10
64,2965,3
64,3994,0
64,161,16
64,1201,12
65,422,12
65,1501,9
65,4051,0
65,162,16
65,1075,10
65,3056,3
65,4074,0
65,1205,12
66,426,12
66,1792,9
66,4079,0
66,164,16
66,1727,8
66,3148,3
66,4154,0
67,450,12
67,1847,9
67,4233,0
67,167,16
67,1099,10
67,1782,8
67,2914,4
67,4290,0
68,1265,12
68,4295,0
68,168,16
68,454,12
68,1137,10
68,2904,4
69,171,16
69,1341,10
69,4360,0
69,492,12
69,1277,9
69,1171,10
69,2612,5
70,193,16
70,1964,7
70,4470,0
70,506,12
70,1866,8
70,2400,6
71,1511,8
71,4645,0
71,228,16
71,1246,10
71,4173,1
71,2409,6
71,1351,9
72,177,17
72,975,9
72,4599,0
72,589,12
72,4125,1
72,2323,6
72,815,10
73,1107,9
73,4873,0
73,583,13
73,3926,2
73,179,17
73,2853,5
73,946,10
74,1190,9
74,5054,0
74,181,17
74,621,13
74,3614,3
74,2904,5
74,868,11
75,1779,8
75,5223,0
75,183,17
75,3818,3
75,3468,4
75,829,12
75,990,11
76,1824,8
76,5315,0
76,185,17
76,3910,3
76,1035,11
77,2410,7
77,5468,0
77,187,17
77,3651,4
77,797,13
78,2964,6
78,5564,0
78,279,25
78,3799,4
78,555,15
79,2177,9
79,5690,0
79,283,25
79,4010,4
79,3374,6
79,569,15
80,2215,9
80,5730,0
80,287,25
80,3652,5
80,2980,7
80,575,15
81,1406,12
81,5875,0
81,291,25
81,4666,3
81,3400,7
81,588,15
82,594,15
82,5877,0
82,295,25
82,5164,2
82,3251,8
83,607,15
83,6127,0
83,299,25
83,5613,1
83,2591,10
84,612,15
84,6069,0
84,302,25
84,3136,9
85,717,16
85,6479,0
85,304,25
85,2607,11
86,721,16
86,6525,0
86,324,25
86,1431,14
87,833,17
87,6748,0
87,2298,13
87,349,25
88,386,25
88,937,18
88,6782,0
88,3143,12
89,312,26
89,953,18
89,7037,0
89,3836,10
90,961,18
90,7184,0
90,314,26
90,3781,10
91,973,18
91,7323,0
91,316,26
91,4465,8
92,977,18
92,7419,0
92,318,26
92,5131,6
93,993,18
93,7586,0
93,320,26
93,4577,8
94,1001,18
94,7691,0
94,322,26
94,4717,8
95,1013,18
95,7854,0
95,760,24
95,381,36
95,4087,10
95,641,27
96,1017,18
96,7923,0
96,645,27
96,385,36
96,3433,12
97,1033,18
97,8047,0
97,655,27
97,389,36
97,4209,10
98,1041,18
98,8111,0
98,659,27
98,393,36
98,4191,10
99,1935,16
99,8059,0
99,397,36
99,669,27
99,921,21
99,5051,8
99,8190,0
99,1534,18
100,1951,16
100,8145,0
100,401,36
100,673,27
100,925,21
100,5827,6
100,8239,0
100,1538,18
101,2854,14
101,8465,0
101,683,27
101,806,24
101,5168,8
101,8368,0
101,405,36
101,2030,18
102,3705,12
102,8753,0
102,687,27
102,5286,8
102,8475,0
102,409,36
102,2510,18
103,4041,12
103,9111,0
103,711,27
103,5188,9
103,8653,0
103,440,36
103,1934,21
104,4035,12
104,9164,0
104,458,36
104,715,27
104,4470,11
104,8706,0
104,1938,21
105,5218,10
105,9718,0
105,777,27
105,6072,8
105,9108,0
105,496,36
105,1390,24
106,5495,10
106,10065,0
106,6800,7
106,449,37
106,9416,0
106,801,27
107,6322,9
107,10493,0
107,7901,5
107,9765,0
107,455,37
107,866,28
108,7194,7
108,10748,0
108,8776,3
108,461,37
108,9798,0
108,901,28
109,5020,15
109,10890,0
109,8784,4
109,468,37
109,10179,0
109,866,29
110,4905,16
110,10972,0
110,8908,4
110,471,37
110,10314,0
110,819,30
111,2892,23
111,11092,0
111,8854,5
111,474,37
111,10578,0
111,830,30
112,833,30
112,11084,0
112,8707,6
112,10804,0
112,616,49
113,2838,24
113,11277,0
113,622,49
113,9108,5
113,10855,0
113,845,30
114,2842,24
114,11369,0
114,628,49
114,9233,5
114,10974,0
114,849,30
115,4743,19
115,11490,0
115,634,49
115,9665,4
115,11044,0
115,861,30
116,6833,13
116,11448,0
116,640,49
116,9940,3
116,10990,0
116,864,30
117,646,49
117,4733,19
117,11652,0
117,9873,4
117,11269,0
117,875,30
118,4582,20
118,11667,0
118,651,49
118,9980,4
118,11382,0
118,880,30
119,909,36
119,1171,32
119,4244,21
119,11817,0
119,1749,30
119,9814,5
119,655,49
119,11561,0
119,1881,32
120,912,36
120,1174,32
120,2475,26
120,11866,0
120,1752,30
120,677,49
120,9599,6
120,11697,0
120,1884,32
121,989,42
121,1479,34
121,4159,22
121,11951,0
121,3175,28
121,10003,5
121,11749,0
121,704,49
121,1221,38
121,3369,31
122,1771,36
122,5718,18
122,12022,0
122,744,49
122,4018,28
122,10086,5
122,11823,0
122,4311,33
123,671,50
123,6029,18
123,12143,0
123,4592,26
123,10275,5
123,11990,0
123,4893,30
124,675,50
124,6256,18
124,12183,0
124,5127,24
124,10596,4
124,11969,0
124,5356,27
125,679,50
125,6208,18
125,12300,0
125,4722,26
125,10185,6
125,12235,0
125,5019,30
126,683,50
126,6320,18
126,12372,0
126,4838,26
126,10014,7
126,12401,0
126,5137,30
127,687,50
127,5894,21
127,12509,0
127,4344,28
127,687,50
127,5894,21
127,12509,0
127,4344,28
127,9826,8
127,12572,0
127,4708,33
128,691,50
128,5733,21
128,12566,0
128,3847,30
128,9569,9
128,12650,0
128,4238,36
129,1880,36
129,5707,24
129,12689,0
129,1359,44
129,4448,28
129,1153,64
129,9768,9
129,12844,0
129,1113,48
129,4814,33
130,1892,36
130,5415,27
130,12781,0
130,1118,48
130,4451,28
130,1175,64
130,9867,9
130,12925,0
130,4819,33
131,1927,36
131,5754,27
131,13001,0
131,1129,48
131,4495,28
131,5157,26
131,1181,64
131,9751,10
131,13160,0
131,5458,30
132,1932,36
132,6018,27
132,13047,0
132,1132,48
132,5127,26
132,5791,24
132,1171,64
132,9844,10
132,13242,0
133,1970,36
133,5534,30
133,13244,0
133,1684,40
133,1144,48
133,3926,30
133,5235,26
133,9627,11
133,1177,64
133,13385,0
134,1993,36
134,5592,30
134,13415,0
134,1715,40
134,1148,48
134,3302,32
134,5293,26
134,9369,12
134,1183,64
134,13505,0
135,1724,40
135,5105,31
135,13526,0
135,1425,44
135,1147,48
135,2684,34
135,4812,27
135,4704,28
135,9087,13
135,1189,64
135,13558,0
136,1729,40
136,4553,34
136,13569,0
136,1151,48
136,2043,36
136,4203,29
136,4108,30
136,9064,13
136,1195,64
137,1480,44
137,5258,29
137,13790,0
137,1171,48
137,2105,36
137,5040,26
137,4794,28
137,8582,15
137,868,64
138,1205,48
138,5355,27
138,13867,0
138,2144,36
138,5211,25
138,4821,28
138,8318,16
138,894,64
139,1269,48
139,5518,25
139,14155,0
139,932,64
139,1894,40
139,5271,25
139,4899,28
139,13674,1
139,8144,17
139,5343,26
140,1292,48
140,6122,22
140,14267,0
140,886,65
140,1909,40
140,5583,26
140,13802,1
140,7915,18
140,5947,23
141,1282,49
141,5185,24
141,14364,0
141,892,65
141,1996,40
141,4322,30
141,13438,2
141,7883,18
141,4836,26
142,1319,49
142,4679,25
142,14534,0
142,1725,44
142,3764,32
142,13111,3
142,7920,18
142,4199,28
142,898,65
143,1277,50
143,4279,26
143,14824,0
143,1683,45
143,3108,35
143,12935,4
143,2709,39
143,8425,17
143,3794,29
143,904,65
144,1228,51
144,3744,27
144,14760,0
144,910,65
144,2446,37
144,12903,4
144,2040,41
144,8357,17
144,3259,30
145,1240,51
145,3967,27
145,15253,0
145,2054,42
145,916,65
145,2479,38
145,12424,6
145,1646,46
145,8941,16
145,3323,31
146,4101,27
146,15555,0
146,2040,43
146,2475,39
146,12252,7
146,1244,51
146,9455,15
146,3456,31
146,1064,81
147,4784,26
147,15895,0
147,1654,47
147,2088,43
147,12138,8
147,1256,51
147,1074,81
147,10072,14
147,3351,33
147,3995,29
148,4868,26
148,16049,0
148,1259,51
148,2127,43
148,11837,9
148,1084,81
148,10111,14
148,3274,34
148,4079,29
149,5509,25
149,16397,0
149,1272,51
149,2593,40
149,1704,47
149,12178,9
149,1094,81
149,11152,12
149,3448,34
149,3931,31
150,6152,24
150,16633,0
150,2557,41
150,1277,51
150,12379,9
150,1104,81
150,11692,11
150,3412,35
150,3734,33
151,6751,23
151,16983,0
151,1114,81
151,1922,46
151,1288,51
151,12229,10
151,11808,11
151,3380,36
151,3541,35
152,6797,23
152,17069,0
152,1124,81
152,1291,51
152,12283,10
152,3587,35
153,7985,21
153,17396,0
153,1132,81
153,1392,59
153,1666,49
153,12173,11
153,3114,39
154,8523,20
154,17587,0
154,1158,81
154,1396,59
154,1670,49
154,11907,12
154,2878,41
155,8471,22
155,17824,0
155,1189,81
155,2133,47
155,12415,12
155,11774,14
155,2731,43
156,9074,21
156,17934,0
156,1231,81
156,12452,12
156,11913,14
156,2506,45
157,8281,24
157,18123,0
157,12236,13
157,11088,17
157,1164,82
157,2619,45
158,7502,27
158,18249,0
158,12400,13
158,10666,19
158,1172,82
158,2636,45
159,6726,30
159,18475,0
159,1180,82
159,13095,12
159,10666,20
159,2663,45
160,6754,30
160,18494,0
160,1188,82
160,12724,13
160,10295,21
160,2670,45
161,5106,36
161,18705,0
161,1196,82
161,14245,10
161,10610,22
161,2702,45
162,4337,39
162,18559,0
162,1204,82
162,15513,8
162,11100,22
162,2717,45
163,3539,42
163,18767,0
163,3204,100
163,1840,75
163,16292,6
163,10163,25
163,2741,45
164,2748,45
164,18843,0
164,3210,100
164,1845,75
164,16771,5
164,10044,26
165,2776,45
165,19085,0
165,2465,55
165,1861,75
165,17868,3
165,9785,27
165,3216,100
166,2790,45
166,19262,0
166,2479,55
166,1868,75
166,18449,2
166,8967,29
166,3222,100
167,2888,46
167,19475,0
167,2190,65
167,1880,75
167,2495,55
167,19068,1
167,8973,30
167,3228,100
168,2894,46
168,19525,0
168,1886,75
168,2501,55
168,9426,29
168,3234,100
169,3022,47
169,19799,0
169,1920,75
169,3238,100
169,2230,65
169,7957,34
170,3135,48
170,19943,0
170,3240,100
170,1924,75
170,7626,36
171,3266,49
171,20292,0
171,3278,100
171,1982,75
171,7319,38
171,2774,57
172,3271,49
172,20406,0
172,2003,75
172,6151,41
172,3285,100
172,2779,57
173,2936,58
173,3496,51
173,21255,0
173,3322,100
173,2073,75
173,7802,39
173,2452,66
174,3051,59
174,3611,52
174,21437,0
174,3273,101
174,8629,38
174,2101,75
175,2538,68
175,3737,53
175,21745,0
175,3277,101
175,10176,35
175,2074,76
176,2111,76
176,3842,54
176,21780,0
176,3281,101
176,10992,34
177,2042,77
177,3876,54
177,22169,0
177,3285,101
177,3224,62
177,11668,32
178,1971,78
178,3894,54
178,22412,0
178,3242,62
178,12339,30
178,3287,101
179,1985,78
179,3927,54
179,22684,0
179,2614,70
179,13110,28
179,3289,101
180,3936,54
180,22835,0
180,1988,78
180,13068,28
180,3564,121
181,3961,54
181,23131,0
181,2001,78
181,14550,24
181,3569,121
182,3976,54
182,23321,0
182,2006,78
182,15305,22
182,3572,121
183,4002,54
183,23573,0
183,2019,78
183,15369,22
183,3577,121
184,4007,54
184,23670,0
184,2022,78
184,16037,20
184,3580,121
185,4041,54
185,23933,0
185,2036,78
185,3585,121
185,15580,22
186,4059,54
186,24097,0
186,2040,78
186,3587,121
186,15023,24
187,3590,121
187,4092,54
187,24359,0
187,2739,70
187,2498,76
187,2115,88
187,14526,26
187,2373,79
188,3627,121
188,4101,54
188,24465,0
188,2742,70
188,2501,76
188,2118,88
188,14668,26
188,2376,79
189,4126,54
189,24672,0
189,3634,121
189,3447,62
189,2837,77
189,13325,30
189,2710,80
190,4141,54
190,24791,0
190,3671,121
190,3278,75
190,12675,32
190,3028,81
191,4167,54
191,24986,0
191,3623,122
191,3175,78
191,12841,32
191,3050,81
192,4172,54
192,25056,0
192,3627,122
192,3055,81
192,12184,34
193,4206,54
193,25208,0
193,3631,122
193,3082,81
193,12961,32
194,4224,54
194,25312,0
194,3634,122
194,3094,81
194,13746,30
195,5143,52
195,24772,0
195,3637,122
195,3115,81
195,4125,57
195,14592,28
195,25424,0
195,4738,54
196,5161,52
196,24880,0
196,3638,122
196,3120,81
196,4134,57
196,14580,28
196,25489,0
196,4747,54
197,6053,50
197,25287,0
197,2596,99
197,3146,81
197,2336,108
197,4027,60
197,16260,24
197,25689,0
197,4216,144
197,5249,54
198,6940,48
198,25634,0
198,2343,108
198,3159,81
198,3910,63
198,17134,22
198,25841,0
198,4221,144
198,5736,54
199,7907,46
199,26017,0
199,2360,108
199,3151,81
199,3796,66
199,17237,22
199,26016,0
199,2896,90
199,4224,144
199,6241,54
200,7912,46
200,26104,0
200,2365,108
200,4229,144
200,3156,81
200,3801,66
200,18014,20
200,26066,0
200,2901,90
200,6246,54
201,9716,42
201,26683,0
201,2383,108
201,4232,144
201,3183,81
201,3570,72
201,17458,22
201,26296,0
201,2649,99
201,7224,54
202,10588,40
202,26997,0
202,4237,144
202,3195,81
202,3453,75
202,16795,24
202,26421,0
202,2389,108
202,7714,54
203,11801,38
203,27621,0
203,3236,81
203,3365,78
203,16590,25
203,26434,0
203,2433,108
203,7643,57
203,4239,144
204,12609,36
204,27910,0
204,3241,81
204,16757,25
204,26576,0
204,2440,108
204,8124,57
204,4242,144
205,12933,36
205,28291,0
205,2497,108
205,3287,81
205,4279,144
205,16015,28
205,26959,0
205,2736,99
205,7552,60
206,13240,36
206,28644,0
206,4286,144
206,2530,108
206,3320,81
206,16037,29
206,27312,0
206,2770,99
206,6974,63
207,14528,34
207,29271,0
207,2569,108
207,3392,81
207,16983,28
207,4323,144
207,27791,0
207,2831,99
207,6445,66
208,14533,34
208,29325,0
208,2588,108
208,3397,81
208,16266,30
208,4275,145
208,27845,0
208,3112,90
208,6450,66
209,16249,32
209,30449,0
209,2616,109
209,4279,145
209,3496,81
209,18870,26
209,3138,91
209,28806,0
209,2852,100
209,5334,72
210,17529,30
210,31118,0
210,4283,145
210,3560,81
210,20588,23
210,3202,91
210,29317,0
210,2656,109
210,4784,75
211,18567,29
211,31771,0
211,4286,145
211,3614,82
211,22395,20
211,2886,101
211,29927,0
211,2626,110
211,3242,91
211,4228,79
212,18864,29
212,32091,0
212,4289,145
212,23097,19
212,2581,111
212,30235,0
212,3267,91
212,3639,82
213,20661,26
213,32817,0
213,4290,145
213,25141,15
213,2737,111
213,3600,92
213,30730,0
213,3067,101
213,4085,83
214,21429,25
214,33165,0
214,4916,169
214,26114,13
214,3705,93
214,30982,0
214,2744,111
214,4190,84
215,20143,31
215,33579,0
215,4921,169
215,27095,12
215,3195,102
215,31456,0
215,2767,111
215,4196,85
216,21018,29
216,33837,0
216,4924,169
216,27970,10
216,2774,111
216,31560,0
216,4234,85
217,18746,38
217,34060,0
217,4929,169
217,28120,11
217,2795,111
217,32068,0
217,4201,87
218,16451,46
218,34192,0
218,4932,169
218,28122,12
218,2802,111
218,32428,0
218,4162,88
219,14275,54
219,34388,0
219,4937,169
219,28177,13
219,2819,111
219,32830,0
219,4133,89
220,14166,55
220,34458,0
220,4939,169
220,28326,13
220,2823,111
220,32979,0
220,4085,90
221,10158,69
221,34676,0
221,4942,169
221,28136,15
221,3150,104
221,33504,0
221,4118,90
222,8094,76
222,34818,0
222,4979,169
222,28078,16
222,3154,104
222,33803,0
222,4131,90
223,8269,77
223,35005,0
223,4986,169
223,28345,16
223,3749,97
223,34069,0
223,4157,90
224,6172,84
224,35053,0
224,28191,17
224,34273,0
224,4163,90
224,5023,169
225,8285,78
225,35282,0
225,28717,16
225,34439,0
225,4194,90
225,4975,170
226,10300,72
226,35403,0
226,29134,15
226,34497,0
226,4207,90
226,4979,170
227,12240,67
227,35632,0
227,29730,14
227,34734,0
227,4230,90
227,4983,170
228,12244,67
228,35724,0
228,29838,14
228,34841,0
228,4234,90
228,4986,170
229,16183,56
229,35877,0
229,30617,12
229,34904,0
229,4267,90
229,4989,170
230,18066,51
230,35994,0
230,31072,11
230,35001,0
230,4280,90
230,4990,170
231,18106,51
231,36186,0
231,5664,196
231,31336,11
231,35264,0
231,4306,90
232,20153,45
232,36209,0
232,31655,10
232,5669,196
232,35225,0
232,4312,90
233,17931,52
233,36452,0
233,31690,11
233,5672,196
233,35617,0
233,4343,90
234,15884,58
234,36597,0
234,31593,12
234,5677,196
234,35877,0
234,4356,90
235,5680,196
235,4309,96
235,4625,92
235,15347,60
235,36808,0
235,5209,90
235,31542,13
235,36183,0
235,5338,92
236,5685,196
236,4314,96
236,4629,92
236,15169,61
236,36883,0
236,5213,90
236,31654,13
236,36295,0
236,5342,92
237,4406,102
237,4948,94
237,13008,67
237,37082,0
237,5687,196
237,6103,90
237,31288,15
237,36643,0
237,6361,94
238,4483,108
238,5247,96
238,12694,68
238,37202,0
238,5690,196
238,6823,90
238,31116,16
238,36828,0
238,7268,96
239,4574,114
239,5569,98
239,12696,69
239,37358,0
239,5727,196
239,8276,88
239,31312,16
239,37024,0
239,4257,121
239,5251,102
239,8790,95
240,4579,114
240,5575,98
240,10824,74
240,37415,0
240,5734,196
240,8283,88
240,31074,17
240,37143,0
240,4264,121
240,5257,102
240,8797,95
241,4387,127
241,6184,102
241,14066,66
241,37598,0
241,5771,196
241,5107,115
241,10522,86
241,31595,16
241,37307,0
241,3972,134
241,4820,119
241,11255,96
242,4462,133
242,6489,104
242,15760,62
242,37705,0
242,5412,117
242,11912,84
242,32044,15
242,37399,0
242,3725,147
242,5723,197
242,4897,125
242,12719,95
243,4028,141
243,5646,120
243,17705,58
243,37903,0
243,4482,133
243,13370,82
243,32349,15
243,37684,0
243,3664,148
243,5727,197
243,4225,137
243,14259,94
244,5940,122
244,19233,54
244,37985,0
244,3703,148
244,14207,82
244,32442,15
244,37777,0
244,5731,197
244,15246,96
245,4721,136
245,19726,54
245,38143,0
245,3686,149
245,15427,78
245,33019,14
245,37977,0
245,5734,197
245,16329,90
246,3576,150
246,20154,54
246,38268,0
246,16077,76
246,33225,14
246,38163,0
246,5737,197
246,16913,87
247,3595,150
247,20327,54
247,38441,0
247,16233,76
247,33169,15
247,38444,0
247,5738,197
247,17063,87
248,3600,150
248,20513,54
248,38480,0
248,6460,225
248,16778,74
248,33555,14
248,38473,0
248,17532,84
249,3620,150
249,20583,54
249,38698,0
249,6465,225
249,16491,76
249,32910,17
249,38859,0
249,17313,87
250,6468,225
250,3625,150
250,20539,54
250,38827,0
250,16083,78
250,32443,19
250,39086,0
250,16973,90
251,6473,225
251,3644,150
251,20243,57
251,39054,0
251,15742,80
251,32053,21
251,39391,0
251,16703,93
252,6476,225
252,3649,150
252,20363,57
252,39139,0
252,15863,80
252,31871,22
252,39546,0
252,16822,93
253,6481,225
253,3669,150
253,19751,60
253,39331,0
253,14815,84
253,31397,24
253,39787,0
253,15923,99
254,6483,225
254,3674,150
254,19305,63
254,39471,0
254,14297,86
254,31193,25
254,39941,0
254,15474,102
255,4832,136
255,19188,66
255,39666,0
255,6486,225
255,4306,144
255,14448,86
255,31128,26
255,40210,0
255,4099,148
255,15616,102
256,4837,136
256,19030,66
256,39714,0
256,6523,225
256,4311,144
256,13923,88
256,30831,27
256,40270,0
256,4104,148
256,15164,105
512,20722,394
512,62073,204
512,124495,0
512,17598,506
512,18457,430
512,47718,262
512,17751,490
512,97663,81
512,125963,0
512,18190,442
512,50537,312
